Product,Customer Name,Rating,Heading,Comment
iphone13,Flipkart Customer,5,Terrific,Happy to have this phone
iphone13,Badri Bishal  Pratihari ,5,Perfect product!,Love this phone..... 😍
iphone13,Sivam Ray,5,Mind-blowing purchase,Camera  is superb 🫡❤️
iphone13,Pushpita Mayra,5,Must buy!,Awesome phone Excellent camera quality
iphone13,Srinivash Bhoi,5,Perfect product!,Pros-rear Camera is awesome.double speaker sound equal loud and base is superb display superb. Design also good.Battery back up superb.Cons-front camera is good not awesomeAfter switching from android you feel one minus point is the display notch .
iphone13,Prasenjit Bar,4,Nice product,Best phone for day to day use and photography/videography.
iphone13,Peris Kumar Bhagat,5,Mind-blowing purchase,Great performance 🥰
iphone13,Rishi Raj,5,Great product,Beast phone …. Camera is exceptionally best
iphone13,Shivang Palyal,5,Classy product,This is awosome .. camera is best . Here some photos i m sharing with you guys ..
iphone13,Ashish  Kumar,5,Wonderful,Just amazing
iphone13,No Name,No Rating,No Comment Heading,Just amazing
